xyzDMxyzCountry,xyzDMxyzRequestYear,xyzDMxyzInterpolation,xyzDCxyzWelfareType,xyzDPxyzSI_MPM_EDUC,xyzDPxyzSI_MPM_EDUE,xyzDPxyzSI_MPM_ELEC,xyzDPxyzSI_MPM_IMPS,xyzDPxyzSI_MPM_IMPW,xyzDPxyzSI_MPM_POOR,xyzDPxyzSI_MPM_MDHC,survname,survey_coverage,comparable_spell
AGO,2018,FALSE,CONS,.2975342,.2744306,.5263953,.5363752,.32106507,.31122,.4720361,IDREA,N,2018
ALB,2012,FALSE,CONS,.0227138,.0673133,.004967,.0304023,.00342548,.0062069,.0079269,LSMS,N,2002-2012
ALB,2016,FALSE,CONS,.0062246,,.004313,.0760324,.08402681,.001393,.0078134,HBS,N,2014-2017
ALB,2017,FALSE,CONS,.0033123,,.0013132,.0697608,.0927045,.0039257,.0071135,HBS,N,2014-2017
ALB,2018,FALSE,CONS,.0019238,,.0006025,.0657977,.09594966,.0004811,.0029316,HBS,N,2018-2020
ARG,2010,FALSE,INC,.0190405,.009636,0,.0130865,.00325656,.0074654,.007694,EPHC-S2,U,2003-2022
ARG,2011,FALSE,INC,.0180353,.0105141,0,.0123504,.00308643,.0071138,.0074787,EPHC-S2,U,2003-2022
ARG,2012,FALSE,INC,.016484,.0083371,0,.0092399,.00324075,.0064705,.0068159,EPHC-S2,U,2003-2022
ARG,2013,FALSE,INC,.0161902,.0089634,0,.0080511,.00321066,.0066668,.0070075,EPHC-S2,U,2003-2022
ARG,2014,FALSE,INC,.0141841,.0094894,0,.0070432,.0040557,.0060478,.0062689,EPHC-S2,U,2003-2022
ARG,2016,FALSE,INC,.0162789,.0117013,0,.0063667,.00405132,.0069689,.0072423,EPHC-S2,U,2003-2022
ARG,2017,FALSE,INC,.0148508,.0071565,0,.0069742,.00400695,.006038,.0061101,EPHC-S2,U,2003-2022
ARG,2018,FALSE,INC,.0133947,.0073669,0,.0070777,.00264292,.0104432,.0109254,EPHC-S2,U,2003-2022
ARG,2019,FALSE,INC,.0145894,.0064164,0,.0063389,.00254712,.0110974,.0113756,EPHC-S2,U,2003-2022
ARG,2020,FALSE,INC,.0136046,.0065874,0,.0090321,.00123864,.0117313,.0117475,EPHC-S2,U,2003-2022
ARG,2021,FALSE,INC,.0108532,.0073135,0,.0025745,.00364048,.0089422,.0090657,EPHC-S2,U,2003-2022
ARG,2022,FALSE,INC,.0110711,.0070612,0,.0041016,.00372027,.0061189,.0061966,EPHC-S2,U,2003-2022
ARM,2014,FALSE,CONS,.0004424,.0193573,.0022271,.0117963,.00573703,.0143914,.0146425,ILCS,N,1999-2018
ARM,2015,FALSE,CONS,.0003153,.021344,.0040505,.0093947,.01553284,.0114636,.0115047,ILCS,N,1999-2018
ARM,2016,FALSE,CONS,.0005247,.0222206,.000968,.0792737,.00364021,.0110795,.0110795,ILCS,N,1999-2018
ARM,2017,FALSE,CONS,.0006926,.017318,.0026792,.0728935,.00304843,.0078565,.0082168,ILCS,N,1999-2018
ARM,2018,FALSE,CONS,.0001315,.0166296,.0006759,.05051,.0037203,.0133982,.0133982,ILCS,N,1999-2018
ARM,2019,FALSE,CONS,.0003219,.020243,0,.0241159,.01059468,.0103007,.0103007,ILCS,N,2019-2022
ARM,2020,FALSE,CONS,.00057,.0193726,0,.007581,.01592332,.0035201,.0035201,ILCS,N,2019-2022
ARM,2021,FALSE,CONS,0,.01793,0,.0039773,.00660082,.0052352,.0052352,ILCS,N,2019-2022
ARM,2022,FALSE,CONS,.0000385,.020359,0,.0058174,.01654612,.0078108,.0078108,ILCS,N,2019-2022
AUS,2010,FALSE,INC,.0260019,,0,0,,.0047331,.0305821,SIH-HES-LIS,N,2004-2010
AUS,2014,FALSE,INC,.0209397,,0,0,,.0051251,.0259507,SIH-LIS,N,1989-2018
AUS,2016,FALSE,INC,.0158957,,0,0,,.0044882,.0203276,SIH-HES-LIS,N,1989-2018
AUS,2018,FALSE,INC,.0171188,,0,0,,.0051688,.0221577,SIH-LIS,N,1989-2018
AUT,2008,FALSE,INC,.0001931,,0,.0134555,.00713841,.0047591,.0049522,EU-SILC,N,2003-2021
AUT,2009,FALSE,INC,.0055039,,0,,0,.0065623,.0119456,EU-SILC,N,2003-2021
AUT,2010,FALSE,INC,.0029512,,0,.0119291,.0047358,.004907,.0078582,EU-SILC,N,2003-2021
AUT,2011,FALSE,INC,.0029553,,0,.0104123,.00548529,.004154,.0071093,EU-SILC,N,2003-2021
AUT,2012,FALSE,INC,.0047234,,0,.0103588,.00231533,.006241,.0109644,EU-SILC,N,2003-2021
AUT,2013,FALSE,INC,0,,0,.0095938,.00297842,.00338,.00338,EU-SILC,N,2003-2021
AUT,2014,FALSE,INC,0,,0,.0102777,.00456443,.0022426,.0022426,EU-SILC,N,2003-2021
AUT,2015,FALSE,INC,0,,0,.0086816,.00225717,.0070904,.0070904,EU-SILC,N,2003-2021
AUT,2016,FALSE,INC,.0000611,,0,.0061444,.00294816,.0066406,.0067018,EU-SILC,N,2003-2021
AUT,2017,FALSE,INC,0,,0,.0066375,.00499996,.0031809,.0031809,EU-SILC,N,2003-2021
AUT,2018,FALSE,INC,0,,0,.0046666,.00241178,.0057619,.0057619,EU-SILC,N,2003-2021
AUT,2019,FALSE,INC,0,,0,.0083336,.00651365,.0068077,.0068077,EU-SILC,N,2003-2021
AUT,2020,FALSE,INC,.0011586,,0,,0,.00688,.0080386,EU-SILC,N,2003-2021
AUT,2021,FALSE,INC,.0017642,,0,,0,.0048582,.0066224,EU-SILC,N,2003-2021
BDI,2013,FALSE,CONS,.6633524,.1889276,.9182661,.9430842,.20584173,.6513289,.8520085,ECVMB,N,1998-2013
BDI,2020,FALSE,CONS,.4488123,.3421162,.7519012,.9100749,.12021417,.6206576,.7666706,EICVMB,N,2020
BEL,2008,FALSE,INC,.019126,,0,.0063679,.00843842,.0042743,.0234003,EU-SILC,N,2003-2021
BEL,2009,FALSE,INC,.0186772,,0,,0,.0022125,.0208897,EU-SILC,N,2003-2021
BEL,2010,FALSE,INC,.0135781,,0,.0134519,.00867515,.0024362,.0158544,EU-SILC,N,2003-2021
BEL,2011,FALSE,INC,.013453,,0,.0208533,.00779068,.0044316,.017752,EU-SILC,N,2003-2021
BEL,2012,FALSE,INC,.0091362,,0,.0198834,.00703353,.0022377,.0107998,EU-SILC,N,2003-2021
BEL,2013,FALSE,INC,.0140696,,0,.0209794,.00694132,.0022841,.0163537,EU-SILC,N,2003-2021
BEL,2014,FALSE,INC,.0092932,,0,.0229984,.00665754,.0023683,.0115207,EU-SILC,N,2003-2021
BEL,2015,FALSE,INC,.0187762,,0,.0165731,.00462688,.0026325,.0213854,EU-SILC,N,2003-2021
BEL,2016,FALSE,INC,.0189738,,0,.0108735,.00439102,.0027519,.0216661,EU-SILC,N,2003-2021
BEL,2017,FALSE,INC,.0192437,,0,.0087375,.00347449,.0027878,.021956,EU-SILC,N,2003-2021
BEL,2018,FALSE,INC,.0053961,,0,.0067558,.00335977,.0021541,.0074303,EU-SILC,N,2003-2021
BEL,2019,FALSE,INC,.0055131,,0,.0074816,.00383661,.0021845,.0075484,EU-SILC,N,2003-2021
BEL,2020,FALSE,INC,.0049923,,0,,0,.0015997,.006592,EU-SILC,N,2003-2021
BEL,2021,FALSE,INC,.0064869,,0,,0,.0019313,.0084182,EU-SILC,N,2003-2021
BEN,2015,FALSE,CONS,.6161151,.2545251,.6902094,.7066547,.26869157,.5070926,.7222898,EMICOV,N,2011-2015
